Attrition;Age;Deplacements;Departement;DistanceDomicile;NiveauFormation;Genre;StatutMarital;AnnesDsEnt;AnneesPromo
Non;59;0;1;2;4;2;3;3;2
Non;54;0;1;26;3;2;1;5;4
Non;42;0;1;2;5;1;3;4;0
Non;41;0;1;4;3;1;3;3;1
Non;38;0;1;2;3;1;2;11;3
Non;28;0;1;1;2;1;2;3;2
Oui;34;2;1;23;3;2;2;3;0
Oui;26;2;1;17;4;2;2;7;1
Non;50;2;1;3;3;1;3;32;10
Non;34;2;1;11;3;1;3;10;1
Non;38;2;1;10;4;1;3;6;1
Non;44;2;1;1;5;1;3;10;0
Non;24;2;1;10;3;1;3;2;2
Oui;30;2;1;8;3;2;2;4;1
Non;36;2;1;2;1;1;1;10;0
Oui;27;2;1;22;3;2;3;1;0
Non;38;2;1;1;4;1;3;6;1
Non;46;1;1;5;2;1;2;4;0
Oui;37;1;1;6;4;1;2;3;0
Non;26;1;1;25;1;2;3;8;5
Non;30;1;1;9;3;1;3;11;4
Non;59;1;1;6;2;1;3;2;2
Non;31;1;1;2;3;1;3;2;1
Non;42;1;1;2;1;1;2;3;1
Oui;19;1;1;2;2;1;1;1;0
Non;44;1;1;1;4;2;1;2;0
Non;54;1;1;19;4;1;3;9;7
Non;41;1;1;10;4;1;2;21;12
Non;41;1;1;1;3;1;3;22;2
Non;39;1;1;3;3;2;3;8;3
Non;36;1;1;13;3;1;3;5;0
Non;34;1;1;3;2;1;3;3;0
Non;28;1;1;8;2;1;2;5;0
Non;36;1;1;8;3;1;3;5;0
Non;39;1;1;2;3;2;3;5;0
Non;33;1;1;3;2;1;2;4;0
Non;45;1;1;24;4;1;1;6;0
Oui;44;1;1;1;2;1;3;20;3
Non;38;1;1;1;3;1;3;7;5
Non;35;1;1;8;4;1;1;5;1
Non;33;1;1;2;3;1;3;5;1
Non;46;1;1;1;2;2;1;7;5
Non;56;1;1;8;4;1;1;7;7
Non;51;1;1;5;3;1;2;33;0
Non;42;1;1;10;3;2;3;20;0
Non;29;1;1;17;3;1;1;10;0
Non;31;1;1;8;2;2;1;3;0
Oui;34;1;1;9;4;2;3;2;2
Non;30;1;1;1;3;1;2;5;1
Non;40;1;1;6;2;1;1;21;7
Non;47;1;1;26;4;2;3;5;1
Non;44;1;1;1;3;2;2;2;2
Oui;24;1;1;22;1;1;3;1;0
Non;45;1;1;4;3;2;3;5;0
